SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI
0,DC:A6:32:33:AD:2C,2020-07-18 19:35:07.452645,6ef947f6-c94e-11ea-ba0c-dca63233ad2b,1,1,1,-55
1,DC:A6:32:33:AD:2C,2020-07-18 19:35:08.152562,6ef947f6-c94e-11ea-ba0c-dca63233ad2b,1,1,1,-55
2,DC:A6:32:33:AD:2C,2020-07-18 19:35:09.010395,6ef947f6-c94e-11ea-ba0c-dca63233ad2b,1,1,1,-68
3,DC:A6:32:33:AD:2C,2020-07-18 19:35:10.257186,6ef947f6-c94e-11ea-ba0c-dca63233ad2b,1,1,1,-67
4,DC:A6:32:33:AD:2C,2020-07-18 19:35:11.145345,6ef947f6-c94e-11ea-ba0c-dca63233ad2b,1,1,1,-55
5,DC:A6:32:33:AD:2C,2020-07-18 19:35:12.032811,6ef947f6-c94e-11ea-ba0c-dca63233ad2b,1,1,1,-55
6,DC:A6:32:33:AD:2C,2020-07-18 19:35:13.548417,6ef947f6-c94e-11ea-ba0c-dca63233ad2b,1,1,1,-71
7,DC:A6:32:33:AD:2C,2020-07-18 19:35:14.491530,6ef947f6-c94e-11ea-ba0c-dca63233ad2b,1,1,1,-55
8,DC:A6:32:33:AD:2C,2020-07-18 19:35:15.007694,6ef947f6-c94e-11ea-ba0c-dca63233ad2b,1,1,1,-69
9,DC:A6:32:33:AD:2C,2020-07-18 19:35:16.107687,6ef947f6-c94e-11ea-ba0c-dca63233ad2b,1,1,1,-56
10,DC:A6:32:33:AD:2C,2020-07-18 19:35:17.387667,6ef947f6-c94e-11ea-ba0c-dca63233ad2b,1,1,1,-66
11,DC:A6:32:33:AD:2C,2020-07-18 19:35:18.006408,6ef947f6-c94e-11ea-ba0c-dca63233ad2b,1,1,1,-66
12,DC:A6:32:33:AD:2C,2020-07-18 19:35:19.168988,6ef947f6-c94e-11ea-ba0c-dca63233ad2b,1,1,1,-57
13,DC:A6:32:33:AD:2C,2020-07-18 19:35:20.116509,6ef947f6-c94e-11ea-ba0c-dca63233ad2b,1,1,1,-57
14,DC:A6:32:33:AD:2C,2020-07-18 19:35:21.401456,6ef947f6-c94e-11ea-ba0c-dca63233ad2b,1,1,1,-56
15,DC:A6:32:33:AD:2C,2020-07-18 19:35:22.166372,6ef947f6-c94e-11ea-ba0c-dca63233ad2b,1,1,1,-56
16,DC:A6:32:33:AD:2C,2020-07-18 19:35:23.150153,6ef947f6-c94e-11ea-ba0c-dca63233ad2b,1,1,1,-65
17,DC:A6:32:33:AD:2C,2020-07-18 19:35:24.012019,6ef947f6-c94e-11ea-ba0c-dca63233ad2b,1,1,1,-60
18,DC:A6:32:33:AD:2C,2020-07-18 19:35:25.350228,6ef947f6-c94e-11ea-ba0c-dca63233ad2b,1,1,1,-60
