SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI
0,DC:A6:32:33:AD:2C,2020-07-18 19:31:12.013278,6ef947f6-c94e-11ea-ba0c-dca63233ad2b,1,1,1,-67
1,DC:A6:32:33:AD:2C,2020-07-18 19:31:13.962417,6ef947f6-c94e-11ea-ba0c-dca63233ad2b,1,1,1,-56
2,DC:A6:32:33:AD:2C,2020-07-18 19:31:14.004786,6ef947f6-c94e-11ea-ba0c-dca63233ad2b,1,1,1,-54
3,DC:A6:32:33:AD:2C,2020-07-18 19:31:15.561053,6ef947f6-c94e-11ea-ba0c-dca63233ad2b,1,1,1,-53
4,DC:A6:32:33:AD:2C,2020-07-18 19:31:16.010991,6ef947f6-c94e-11ea-ba0c-dca63233ad2b,1,1,1,-70
5,DC:A6:32:33:AD:2C,2020-07-18 19:31:17.034196,6ef947f6-c94e-11ea-ba0c-dca63233ad2b,1,1,1,-54
6,DC:A6:32:33:AD:2C,2020-07-18 19:31:18.050981,6ef947f6-c94e-11ea-ba0c-dca63233ad2b,1,1,1,-56
7,DC:A6:32:33:AD:2C,2020-07-18 19:31:19.213484,6ef947f6-c94e-11ea-ba0c-dca63233ad2b,1,1,1,-56
8,DC:A6:32:33:AD:2C,2020-07-18 19:31:20.107776,6ef947f6-c94e-11ea-ba0c-dca63233ad2b,1,1,1,-69
9,DC:A6:32:33:AD:2C,2020-07-18 19:31:22.112163,6ef947f6-c94e-11ea-ba0c-dca63233ad2b,1,1,1,-54
10,DC:A6:32:33:AD:2C,2020-07-18 19:31:23.212211,6ef947f6-c94e-11ea-ba0c-dca63233ad2b,1,1,1,-54
11,DC:A6:32:33:AD:2C,2020-07-18 19:31:24.017089,6ef947f6-c94e-11ea-ba0c-dca63233ad2b,1,1,1,-55
12,DC:A6:32:33:AD:2C,2020-07-18 19:31:25.693314,6ef947f6-c94e-11ea-ba0c-dca63233ad2b,1,1,1,-68
13,DC:A6:32:33:AD:2C,2020-07-18 19:31:26.019529,6ef947f6-c94e-11ea-ba0c-dca63233ad2b,1,1,1,-56
14,DC:A6:32:33:AD:2C,2020-07-18 19:31:27.117649,6ef947f6-c94e-11ea-ba0c-dca63233ad2b,1,1,1,-53
15,DC:A6:32:33:AD:2C,2020-07-18 19:31:28.370919,6ef947f6-c94e-11ea-ba0c-dca63233ad2b,1,1,1,-56
16,DC:A6:32:33:AD:2C,2020-07-18 19:31:29.682158,6ef947f6-c94e-11ea-ba0c-dca63233ad2b,1,1,1,-53
17,DC:A6:32:33:AD:2C,2020-07-18 19:31:30.035198,6ef947f6-c94e-11ea-ba0c-dca63233ad2b,1,1,1,-54
