SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI
0,DC:A6:32:33:AD:2C,2020-07-11 15:44:31.948143,ed2b9d0e-c3ae-11ea-beb3-dca63233ad2b,1,1,1,-63
1,DC:A6:32:33:AD:2C,2020-07-11 15:44:32.062133,ed2b9d0e-c3ae-11ea-beb3-dca63233ad2b,1,1,1,-63
2,DC:A6:32:33:AD:2C,2020-07-11 15:44:33.069373,ed2b9d0e-c3ae-11ea-beb3-dca63233ad2b,1,1,1,-64
3,DC:A6:32:33:AD:2C,2020-07-11 15:44:34.133812,ed2b9d0e-c3ae-11ea-beb3-dca63233ad2b,1,1,1,-62
4,DC:A6:32:33:AD:2C,2020-07-11 15:44:35.316887,ed2b9d0e-c3ae-11ea-beb3-dca63233ad2b,1,1,1,-63
5,DC:A6:32:33:AD:2C,2020-07-11 15:44:36.082485,ed2b9d0e-c3ae-11ea-beb3-dca63233ad2b,1,1,1,-63
6,DC:A6:32:33:AD:2C,2020-07-11 15:44:37.424442,ed2b9d0e-c3ae-11ea-beb3-dca63233ad2b,1,1,1,-63
7,DC:A6:32:33:AD:2C,2020-07-11 15:44:38.349359,ed2b9d0e-c3ae-11ea-beb3-dca63233ad2b,1,1,1,-62
8,DC:A6:32:33:AD:2C,2020-07-11 15:44:39.150603,ed2b9d0e-c3ae-11ea-beb3-dca63233ad2b,1,1,1,-62
9,DC:A6:32:33:AD:2C,2020-07-11 15:44:40.012489,ed2b9d0e-c3ae-11ea-beb3-dca63233ad2b,1,1,1,-62
10,DC:A6:32:33:AD:2C,2020-07-11 15:44:41.173479,ed2b9d0e-c3ae-11ea-beb3-dca63233ad2b,1,1,1,-64
11,DC:A6:32:33:AD:2C,2020-07-11 15:44:42.011337,ed2b9d0e-c3ae-11ea-beb3-dca63233ad2b,1,1,1,-64
12,DC:A6:32:33:AD:2C,2020-07-11 15:44:43.375671,ed2b9d0e-c3ae-11ea-beb3-dca63233ad2b,1,1,1,-64
13,DC:A6:32:33:AD:2C,2020-07-11 15:44:44.024393,ed2b9d0e-c3ae-11ea-beb3-dca63233ad2b,1,1,1,-62
14,DC:A6:32:33:AD:2C,2020-07-11 15:44:45.115696,ed2b9d0e-c3ae-11ea-beb3-dca63233ad2b,1,1,1,-62
15,DC:A6:32:33:AD:2C,2020-07-11 15:44:46.036331,ed2b9d0e-c3ae-11ea-beb3-dca63233ad2b,1,1,1,-64
16,DC:A6:32:33:AD:2C,2020-07-11 15:44:47.194213,ed2b9d0e-c3ae-11ea-beb3-dca63233ad2b,1,1,1,-63
17,DC:A6:32:33:AD:2C,2020-07-11 15:44:48.046980,ed2b9d0e-c3ae-11ea-beb3-dca63233ad2b,1,1,1,-63
18,DC:A6:32:33:AD:2C,2020-07-11 15:44:49.958286,ed2b9d0e-c3ae-11ea-beb3-dca63233ad2b,1,1,1,-65
19,DC:A6:32:33:AD:2C,2020-07-11 15:44:50.005697,ed2b9d0e-c3ae-11ea-beb3-dca63233ad2b,1,1,1,-65
20,DC:A6:32:33:AD:2C,2020-07-11 15:44:51.344491,ed2b9d0e-c3ae-11ea-beb3-dca63233ad2b,1,1,1,-65
21,DC:A6:32:33:AD:2C,2020-07-11 15:44:52.024493,ed2b9d0e-c3ae-11ea-beb3-dca63233ad2b,1,1,1,-63
22,DC:A6:32:33:AD:2C,2020-07-11 15:44:53.299016,ed2b9d0e-c3ae-11ea-beb3-dca63233ad2b,1,1,1,-62
23,DC:A6:32:33:AD:2C,2020-07-11 15:44:54.090899,ed2b9d0e-c3ae-11ea-beb3-dca63233ad2b,1,1,1,-64
24,DC:A6:32:33:AD:2C,2020-07-11 15:44:55.305797,ed2b9d0e-c3ae-11ea-beb3-dca63233ad2b,1,1,1,-62
25,DC:A6:32:33:AD:2C,2020-07-11 15:44:56.008269,ed2b9d0e-c3ae-11ea-beb3-dca63233ad2b,1,1,1,-63
26,DC:A6:32:33:AD:2C,2020-07-11 15:44:57.160839,ed2b9d0e-c3ae-11ea-beb3-dca63233ad2b,1,1,1,-63
27,DC:A6:32:33:AD:2C,2020-07-11 15:44:58.145864,ed2b9d0e-c3ae-11ea-beb3-dca63233ad2b,1,1,1,-62
28,DC:A6:32:33:AD:2C,2020-07-11 15:44:59.209579,ed2b9d0e-c3ae-11ea-beb3-dca63233ad2b,1,1,1,-65
29,DC:A6:32:33:AD:2C,2020-07-11 15:45:00.069016,ed2b9d0e-c3ae-11ea-beb3-dca63233ad2b,1,1,1,-62
30,DC:A6:32:33:AD:2C,2020-07-11 15:45:01.043341,ed2b9d0e-c3ae-11ea-beb3-dca63233ad2b,1,1,1,-64
31,DC:A6:32:33:AD:2C,2020-07-11 15:45:02.002209,ed2b9d0e-c3ae-11ea-beb3-dca63233ad2b,1,1,1,-64
32,DC:A6:32:33:AD:2C,2020-07-11 15:45:03.293385,ed2b9d0e-c3ae-11ea-beb3-dca63233ad2b,1,1,1,-64
33,DC:A6:32:33:AD:2C,2020-07-11 15:45:04.030861,ed2b9d0e-c3ae-11ea-beb3-dca63233ad2b,1,1,1,-62
34,DC:A6:32:33:AD:2C,2020-07-11 15:45:05.245935,ed2b9d0e-c3ae-11ea-beb3-dca63233ad2b,1,1,1,-64
35,DC:A6:32:33:AD:2C,2020-07-11 15:45:06.047250,ed2b9d0e-c3ae-11ea-beb3-dca63233ad2b,1,1,1,-62
36,DC:A6:32:33:AD:2C,2020-07-11 15:45:07.196064,ed2b9d0e-c3ae-11ea-beb3-dca63233ad2b,1,1,1,-66
37,DC:A6:32:33:AD:2C,2020-07-11 15:45:08.044706,ed2b9d0e-c3ae-11ea-beb3-dca63233ad2b,1,1,1,-65
38,DC:A6:32:33:AD:2C,2020-07-11 15:45:09.511561,ed2b9d0e-c3ae-11ea-beb3-dca63233ad2b,1,1,1,-63
39,DC:A6:32:33:AD:2C,2020-07-11 15:45:10.378454,ed2b9d0e-c3ae-11ea-beb3-dca63233ad2b,1,1,1,-63
40,DC:A6:32:33:AD:2C,2020-07-11 15:45:11.199110,ed2b9d0e-c3ae-11ea-beb3-dca63233ad2b,1,1,1,-64
41,DC:A6:32:33:AD:2C,2020-07-11 15:45:12.008585,ed2b9d0e-c3ae-11ea-beb3-dca63233ad2b,1,1,1,-63
42,DC:A6:32:33:AD:2C,2020-07-11 15:45:13.018501,ed2b9d0e-c3ae-11ea-beb3-dca63233ad2b,1,1,1,-65
43,DC:A6:32:33:AD:2C,2020-07-11 15:45:14.134763,ed2b9d0e-c3ae-11ea-beb3-dca63233ad2b,1,1,1,-64
44,DC:A6:32:33:AD:2C,2020-07-11 15:45:15.181093,ed2b9d0e-c3ae-11ea-beb3-dca63233ad2b,1,1,1,-63
45,DC:A6:32:33:AD:2C,2020-07-11 15:45:16.037276,ed2b9d0e-c3ae-11ea-beb3-dca63233ad2b,1,1,1,-62
46,DC:A6:32:33:AD:2C,2020-07-11 15:45:17.158061,ed2b9d0e-c3ae-11ea-beb3-dca63233ad2b,1,1,1,-65
47,DC:A6:32:33:AD:2C,2020-07-11 15:45:18.008649,ed2b9d0e-c3ae-11ea-beb3-dca63233ad2b,1,1,1,-65
48,DC:A6:32:33:AD:2C,2020-07-11 15:45:19.142431,ed2b9d0e-c3ae-11ea-beb3-dca63233ad2b,1,1,1,-62
49,DC:A6:32:33:AD:2C,2020-07-11 15:45:20.056089,ed2b9d0e-c3ae-11ea-beb3-dca63233ad2b,1,1,1,-62
50,DC:A6:32:33:AD:2C,2020-07-11 15:45:21.057341,ed2b9d0e-c3ae-11ea-beb3-dca63233ad2b,1,1,1,-65
51,DC:A6:32:33:AD:2C,2020-07-11 15:45:22.011078,ed2b9d0e-c3ae-11ea-beb3-dca63233ad2b,1,1,1,-64
52,DC:A6:32:33:AD:2C,2020-07-11 15:45:23.086142,ed2b9d0e-c3ae-11ea-beb3-dca63233ad2b,1,1,1,-64
53,DC:A6:32:33:AD:2C,2020-07-11 15:45:24.006325,ed2b9d0e-c3ae-11ea-beb3-dca63233ad2b,1,1,1,-63
54,DC:A6:32:33:AD:2C,2020-07-11 15:45:25.048833,ed2b9d0e-c3ae-11ea-beb3-dca63233ad2b,1,1,1,-65
55,DC:A6:32:33:AD:2C,2020-07-11 15:45:27.014980,ed2b9d0e-c3ae-11ea-beb3-dca63233ad2b,1,1,1,-65
56,DC:A6:32:33:AD:2C,2020-07-11 15:45:28.296183,ed2b9d0e-c3ae-11ea-beb3-dca63233ad2b,1,1,1,-63
57,DC:A6:32:33:AD:2C,2020-07-11 15:45:29.286209,ed2b9d0e-c3ae-11ea-beb3-dca63233ad2b,1,1,1,-62
58,DC:A6:32:33:AD:2C,2020-07-11 15:45:30.048769,ed2b9d0e-c3ae-11ea-beb3-dca63233ad2b,1,1,1,-62
59,DC:A6:32:33:AD:2C,2020-07-11 15:45:31.293067,ed2b9d0e-c3ae-11ea-beb3-dca63233ad2b,1,1,1,-64
