SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI
0,DC:A6:32:33:AD:2C,2020-07-11 15:40:55.366050,69663178-c3ae-11ea-9d71-dca63233ad2b,1,1,1,-55
1,DC:A6:32:33:AD:2C,2020-07-11 15:40:56.212440,69663178-c3ae-11ea-9d71-dca63233ad2b,1,1,1,-62
2,DC:A6:32:33:AD:2C,2020-07-11 15:40:57.039175,69663178-c3ae-11ea-9d71-dca63233ad2b,1,1,1,-61
3,DC:A6:32:33:AD:2C,2020-07-11 15:40:58.566636,69663178-c3ae-11ea-9d71-dca63233ad2b,1,1,1,-56
4,DC:A6:32:33:AD:2C,2020-07-11 15:40:59.216685,69663178-c3ae-11ea-9d71-dca63233ad2b,1,1,1,-61
5,DC:A6:32:33:AD:2C,2020-07-11 15:41:00.018655,69663178-c3ae-11ea-9d71-dca63233ad2b,1,1,1,-58
6,DC:A6:32:33:AD:2C,2020-07-11 15:41:01.128107,69663178-c3ae-11ea-9d71-dca63233ad2b,1,1,1,-57
7,DC:A6:32:33:AD:2C,2020-07-11 15:41:02.103594,69663178-c3ae-11ea-9d71-dca63233ad2b,1,1,1,-62
8,DC:A6:32:33:AD:2C,2020-07-11 15:41:03.193006,69663178-c3ae-11ea-9d71-dca63233ad2b,1,1,1,-55
9,DC:A6:32:33:AD:2C,2020-07-11 15:41:04.033554,69663178-c3ae-11ea-9d71-dca63233ad2b,1,1,1,-57
10,DC:A6:32:33:AD:2C,2020-07-11 15:41:05.100029,69663178-c3ae-11ea-9d71-dca63233ad2b,1,1,1,-61
11,DC:A6:32:33:AD:2C,2020-07-11 15:41:06.071735,69663178-c3ae-11ea-9d71-dca63233ad2b,1,1,1,-54
12,DC:A6:32:33:AD:2C,2020-07-11 15:41:07.113027,69663178-c3ae-11ea-9d71-dca63233ad2b,1,1,1,-57
13,DC:A6:32:33:AD:2C,2020-07-11 15:41:08.029220,69663178-c3ae-11ea-9d71-dca63233ad2b,1,1,1,-61
14,DC:A6:32:33:AD:2C,2020-07-11 15:41:09.165473,69663178-c3ae-11ea-9d71-dca63233ad2b,1,1,1,-54
15,DC:A6:32:33:AD:2C,2020-07-11 15:41:10.106429,69663178-c3ae-11ea-9d71-dca63233ad2b,1,1,1,-55
16,DC:A6:32:33:AD:2C,2020-07-11 15:41:11.054305,69663178-c3ae-11ea-9d71-dca63233ad2b,1,1,1,-57
17,DC:A6:32:33:AD:2C,2020-07-11 15:41:12.058036,69663178-c3ae-11ea-9d71-dca63233ad2b,1,1,1,-58
18,DC:A6:32:33:AD:2C,2020-07-11 15:41:13.266760,69663178-c3ae-11ea-9d71-dca63233ad2b,1,1,1,-61
19,DC:A6:32:33:AD:2C,2020-07-11 15:41:14.258005,69663178-c3ae-11ea-9d71-dca63233ad2b,1,1,1,-58
20,DC:A6:32:33:AD:2C,2020-07-11 15:41:15.117745,69663178-c3ae-11ea-9d71-dca63233ad2b,1,1,1,-54
21,DC:A6:32:33:AD:2C,2020-07-11 15:41:16.854346,69663178-c3ae-11ea-9d71-dca63233ad2b,1,1,1,-58
22,DC:A6:32:33:AD:2C,2020-07-11 15:41:17.042459,69663178-c3ae-11ea-9d71-dca63233ad2b,1,1,1,-62
23,DC:A6:32:33:AD:2C,2020-07-11 15:41:18.046785,69663178-c3ae-11ea-9d71-dca63233ad2b,1,1,1,-54
24,DC:A6:32:33:AD:2C,2020-07-11 15:41:19.038656,69663178-c3ae-11ea-9d71-dca63233ad2b,1,1,1,-58
25,DC:A6:32:33:AD:2C,2020-07-11 15:41:20.053123,69663178-c3ae-11ea-9d71-dca63233ad2b,1,1,1,-61
26,DC:A6:32:33:AD:2C,2020-07-11 15:41:21.062357,69663178-c3ae-11ea-9d71-dca63233ad2b,1,1,1,-61
27,DC:A6:32:33:AD:2C,2020-07-11 15:41:22.215737,69663178-c3ae-11ea-9d71-dca63233ad2b,1,1,1,-61
28,DC:A6:32:33:AD:2C,2020-07-11 15:41:23.038090,69663178-c3ae-11ea-9d71-dca63233ad2b,1,1,1,-61
29,DC:A6:32:33:AD:2C,2020-07-11 15:41:24.088837,69663178-c3ae-11ea-9d71-dca63233ad2b,1,1,1,-57
30,DC:A6:32:33:AD:2C,2020-07-11 15:41:25.093174,69663178-c3ae-11ea-9d71-dca63233ad2b,1,1,1,-61
31,DC:A6:32:33:AD:2C,2020-07-11 15:41:26.555139,69663178-c3ae-11ea-9d71-dca63233ad2b,1,1,1,-55
32,DC:A6:32:33:AD:2C,2020-07-11 15:41:27.153226,69663178-c3ae-11ea-9d71-dca63233ad2b,1,1,1,-56
33,DC:A6:32:33:AD:2C,2020-07-11 15:41:28.318817,69663178-c3ae-11ea-9d71-dca63233ad2b,1,1,1,-55
34,DC:A6:32:33:AD:2C,2020-07-11 15:41:29.003165,69663178-c3ae-11ea-9d71-dca63233ad2b,1,1,1,-55
35,DC:A6:32:33:AD:2C,2020-07-11 15:41:30.357041,69663178-c3ae-11ea-9d71-dca63233ad2b,1,1,1,-56
36,DC:A6:32:33:AD:2C,2020-07-11 15:41:31.128176,69663178-c3ae-11ea-9d71-dca63233ad2b,1,1,1,-56
37,DC:A6:32:33:AD:2C,2020-07-11 15:41:32.115800,69663178-c3ae-11ea-9d71-dca63233ad2b,1,1,1,-56
38,DC:A6:32:33:AD:2C,2020-07-11 15:41:33.040721,69663178-c3ae-11ea-9d71-dca63233ad2b,1,1,1,-55
39,DC:A6:32:33:AD:2C,2020-07-11 15:41:34.136995,69663178-c3ae-11ea-9d71-dca63233ad2b,1,1,1,-58
40,DC:A6:32:33:AD:2C,2020-07-11 15:41:35.084496,69663178-c3ae-11ea-9d71-dca63233ad2b,1,1,1,-62
41,DC:A6:32:33:AD:2C,2020-07-11 15:41:36.057039,69663178-c3ae-11ea-9d71-dca63233ad2b,1,1,1,-62
42,DC:A6:32:33:AD:2C,2020-07-11 15:41:37.012663,69663178-c3ae-11ea-9d71-dca63233ad2b,1,1,1,-55
43,DC:A6:32:33:AD:2C,2020-07-11 15:41:38.149417,69663178-c3ae-11ea-9d71-dca63233ad2b,1,1,1,-55
44,DC:A6:32:33:AD:2C,2020-07-11 15:41:39.014544,69663178-c3ae-11ea-9d71-dca63233ad2b,1,1,1,-62
45,DC:A6:32:33:AD:2C,2020-07-11 15:41:40.034567,69663178-c3ae-11ea-9d71-dca63233ad2b,1,1,1,-57
46,DC:A6:32:33:AD:2C,2020-07-11 15:41:41.158286,69663178-c3ae-11ea-9d71-dca63233ad2b,1,1,1,-61
47,DC:A6:32:33:AD:2C,2020-07-11 15:41:42.137036,69663178-c3ae-11ea-9d71-dca63233ad2b,1,1,1,-55
48,DC:A6:32:33:AD:2C,2020-07-11 15:41:43.004509,69663178-c3ae-11ea-9d71-dca63233ad2b,1,1,1,-61
49,DC:A6:32:33:AD:2C,2020-07-11 15:41:44.041772,69663178-c3ae-11ea-9d71-dca63233ad2b,1,1,1,-55
50,DC:A6:32:33:AD:2C,2020-07-11 15:41:45.292723,69663178-c3ae-11ea-9d71-dca63233ad2b,1,1,1,-57
51,DC:A6:32:33:AD:2C,2020-07-11 15:41:46.117033,69663178-c3ae-11ea-9d71-dca63233ad2b,1,1,1,-58
52,DC:A6:32:33:AD:2C,2020-07-11 15:41:47.077039,69663178-c3ae-11ea-9d71-dca63233ad2b,1,1,1,-55
53,DC:A6:32:33:AD:2C,2020-07-11 15:41:48.488973,69663178-c3ae-11ea-9d71-dca63233ad2b,1,1,1,-57
54,DC:A6:32:33:AD:2C,2020-07-11 15:41:49.140375,69663178-c3ae-11ea-9d71-dca63233ad2b,1,1,1,-55
55,DC:A6:32:33:AD:2C,2020-07-11 15:41:50.187103,69663178-c3ae-11ea-9d71-dca63233ad2b,1,1,1,-62
56,DC:A6:32:33:AD:2C,2020-07-11 15:41:51.173395,69663178-c3ae-11ea-9d71-dca63233ad2b,1,1,1,-62
57,DC:A6:32:33:AD:2C,2020-07-11 15:41:52.038368,69663178-c3ae-11ea-9d71-dca63233ad2b,1,1,1,-56
58,DC:A6:32:33:AD:2C,2020-07-11 15:41:53.540899,69663178-c3ae-11ea-9d71-dca63233ad2b,1,1,1,-62
59,DC:A6:32:33:AD:2C,2020-07-11 15:41:54.002110,69663178-c3ae-11ea-9d71-dca63233ad2b,1,1,1,-57
60,DC:A6:32:33:AD:2C,2020-07-11 15:41:55.193426,69663178-c3ae-11ea-9d71-dca63233ad2b,1,1,1,-62
