f, h, t

3, 65, 88.2
4, 67, 88.6
5, 79, 89.2
6, 85.5, 86.6
7, 87.5, 86.4
8, 89, 86.4
9, 89, 86.4

Discard when doing humidity features.
temp is questionable???? Does temp on ground vary vs 2 ft higher?
