SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI
0,DC:A6:32:33:AD:2C,2020-07-18 12:29:20.182168,efbcf9d2-c912-11ea-9b09-dca63233ad2b,1,1,1,-53
1,DC:A6:32:33:AD:2C,2020-07-18 12:29:21.090214,efbcf9d2-c912-11ea-9b09-dca63233ad2b,1,1,1,-57
2,DC:A6:32:33:AD:2C,2020-07-18 12:29:22.522680,efbcf9d2-c912-11ea-9b09-dca63233ad2b,1,1,1,-57
3,DC:A6:32:33:AD:2C,2020-07-18 12:29:23.102661,efbcf9d2-c912-11ea-9b09-dca63233ad2b,1,1,1,-57
4,DC:A6:32:33:AD:2C,2020-07-18 12:29:24.342689,efbcf9d2-c912-11ea-9b09-dca63233ad2b,1,1,1,-57
5,DC:A6:32:33:AD:2C,2020-07-18 12:29:25.255233,efbcf9d2-c912-11ea-9b09-dca63233ad2b,1,1,1,-57
6,DC:A6:32:33:AD:2C,2020-07-18 12:29:26.566464,efbcf9d2-c912-11ea-9b09-dca63233ad2b,1,1,1,-54
7,DC:A6:32:33:AD:2C,2020-07-18 12:29:27.023967,efbcf9d2-c912-11ea-9b09-dca63233ad2b,1,1,1,-60
8,DC:A6:32:33:AD:2C,2020-07-18 12:29:28.023981,efbcf9d2-c912-11ea-9b09-dca63233ad2b,1,1,1,-54
9,DC:A6:32:33:AD:2C,2020-07-18 12:29:29.080251,efbcf9d2-c912-11ea-9b09-dca63233ad2b,1,1,1,-59
10,DC:A6:32:33:AD:2C,2020-07-18 12:29:30.156633,efbcf9d2-c912-11ea-9b09-dca63233ad2b,1,1,1,-57
11,DC:A6:32:33:AD:2C,2020-07-18 12:29:31.251654,efbcf9d2-c912-11ea-9b09-dca63233ad2b,1,1,1,-54
12,DC:A6:32:33:AD:2C,2020-07-18 12:29:32.050314,efbcf9d2-c912-11ea-9b09-dca63233ad2b,1,1,1,-58
13,DC:A6:32:33:AD:2C,2020-07-18 12:29:33.414220,efbcf9d2-c912-11ea-9b09-dca63233ad2b,1,1,1,-54
14,DC:A6:32:33:AD:2C,2020-07-18 12:29:34.181744,efbcf9d2-c912-11ea-9b09-dca63233ad2b,1,1,1,-59
15,DC:A6:32:33:AD:2C,2020-07-18 12:29:35.036677,efbcf9d2-c912-11ea-9b09-dca63233ad2b,1,1,1,-58
16,DC:A6:32:33:AD:2C,2020-07-18 12:29:36.160437,efbcf9d2-c912-11ea-9b09-dca63233ad2b,1,1,1,-58
17,DC:A6:32:33:AD:2C,2020-07-18 12:29:37.019262,efbcf9d2-c912-11ea-9b09-dca63233ad2b,1,1,1,-54
18,DC:A6:32:33:AD:2C,2020-07-18 12:29:38.056225,efbcf9d2-c912-11ea-9b09-dca63233ad2b,1,1,1,-55
19,DC:A6:32:33:AD:2C,2020-07-18 12:29:39.313053,efbcf9d2-c912-11ea-9b09-dca63233ad2b,1,1,1,-51
20,DC:A6:32:33:AD:2C,2020-07-18 12:29:40.161811,efbcf9d2-c912-11ea-9b09-dca63233ad2b,1,1,1,-51
21,DC:A6:32:33:AD:2C,2020-07-18 12:29:41.013045,efbcf9d2-c912-11ea-9b09-dca63233ad2b,1,1,1,-55
22,DC:A6:32:33:AD:2C,2020-07-18 12:29:43.018170,efbcf9d2-c912-11ea-9b09-dca63233ad2b,1,1,1,-51
23,DC:A6:32:33:AD:2C,2020-07-18 12:29:44.067521,efbcf9d2-c912-11ea-9b09-dca63233ad2b,1,1,1,-55
24,DC:A6:32:33:AD:2C,2020-07-18 12:29:45.087061,efbcf9d2-c912-11ea-9b09-dca63233ad2b,1,1,1,-56
25,DC:A6:32:33:AD:2C,2020-07-18 12:29:46.072028,efbcf9d2-c912-11ea-9b09-dca63233ad2b,1,1,1,-55
26,DC:A6:32:33:AD:2C,2020-07-18 12:29:47.059511,efbcf9d2-c912-11ea-9b09-dca63233ad2b,1,1,1,-50
27,DC:A6:32:33:AD:2C,2020-07-18 12:29:48.005793,efbcf9d2-c912-11ea-9b09-dca63233ad2b,1,1,1,-49
28,DC:A6:32:33:AD:2C,2020-07-18 12:29:49.082126,efbcf9d2-c912-11ea-9b09-dca63233ad2b,1,1,1,-55
29,DC:A6:32:33:AD:2C,2020-07-18 12:29:50.177175,efbcf9d2-c912-11ea-9b09-dca63233ad2b,1,1,1,-47
30,DC:A6:32:33:AD:2C,2020-07-18 12:29:51.005782,efbcf9d2-c912-11ea-9b09-dca63233ad2b,1,1,1,-55
31,DC:A6:32:33:AD:2C,2020-07-18 12:29:52.367695,efbcf9d2-c912-11ea-9b09-dca63233ad2b,1,1,1,-55
32,DC:A6:32:33:AD:2C,2020-07-18 12:29:53.253352,efbcf9d2-c912-11ea-9b09-dca63233ad2b,1,1,1,-55
33,DC:A6:32:33:AD:2C,2020-07-18 12:29:54.015975,efbcf9d2-c912-11ea-9b09-dca63233ad2b,1,1,1,-55
34,DC:A6:32:33:AD:2C,2020-07-18 12:29:55.111020,efbcf9d2-c912-11ea-9b09-dca63233ad2b,1,1,1,-57
35,DC:A6:32:33:AD:2C,2020-07-18 12:29:56.083413,efbcf9d2-c912-11ea-9b09-dca63233ad2b,1,1,1,-55
36,DC:A6:32:33:AD:2C,2020-07-18 12:29:57.022174,efbcf9d2-c912-11ea-9b09-dca63233ad2b,1,1,1,-56
37,DC:A6:32:33:AD:2C,2020-07-18 12:29:58.273459,efbcf9d2-c912-11ea-9b09-dca63233ad2b,1,1,1,-50
38,DC:A6:32:33:AD:2C,2020-07-18 12:29:59.005306,efbcf9d2-c912-11ea-9b09-dca63233ad2b,1,1,1,-50
39,DC:A6:32:33:AD:2C,2020-07-18 12:30:00.129862,efbcf9d2-c912-11ea-9b09-dca63233ad2b,1,1,1,-50
40,DC:A6:32:33:AD:2C,2020-07-18 12:30:01.021634,efbcf9d2-c912-11ea-9b09-dca63233ad2b,1,1,1,-48
41,DC:A6:32:33:AD:2C,2020-07-18 12:30:02.183617,efbcf9d2-c912-11ea-9b09-dca63233ad2b,1,1,1,-54
42,DC:A6:32:33:AD:2C,2020-07-18 12:30:03.302390,efbcf9d2-c912-11ea-9b09-dca63233ad2b,1,1,1,-54
43,DC:A6:32:33:AD:2C,2020-07-18 12:30:04.033584,efbcf9d2-c912-11ea-9b09-dca63233ad2b,1,1,1,-54
44,DC:A6:32:33:AD:2C,2020-07-18 12:30:05.136284,efbcf9d2-c912-11ea-9b09-dca63233ad2b,1,1,1,-48
45,DC:A6:32:33:AD:2C,2020-07-18 12:30:06.233625,efbcf9d2-c912-11ea-9b09-dca63233ad2b,1,1,1,-50
46,DC:A6:32:33:AD:2C,2020-07-18 12:30:07.052370,efbcf9d2-c912-11ea-9b09-dca63233ad2b,1,1,1,-58
47,DC:A6:32:33:AD:2C,2020-07-18 12:30:08.278021,efbcf9d2-c912-11ea-9b09-dca63233ad2b,1,1,1,-50
48,DC:A6:32:33:AD:2C,2020-07-18 12:30:09.134925,efbcf9d2-c912-11ea-9b09-dca63233ad2b,1,1,1,-55
49,DC:A6:32:33:AD:2C,2020-07-18 12:30:10.210684,efbcf9d2-c912-11ea-9b09-dca63233ad2b,1,1,1,-55
50,DC:A6:32:33:AD:2C,2020-07-18 12:30:11.307580,efbcf9d2-c912-11ea-9b09-dca63233ad2b,1,1,1,-58
51,DC:A6:32:33:AD:2C,2020-07-18 12:30:12.012496,efbcf9d2-c912-11ea-9b09-dca63233ad2b,1,1,1,-57
52,DC:A6:32:33:AD:2C,2020-07-18 12:30:13.057538,efbcf9d2-c912-11ea-9b09-dca63233ad2b,1,1,1,-58
53,DC:A6:32:33:AD:2C,2020-07-18 12:30:14.042553,efbcf9d2-c912-11ea-9b09-dca63233ad2b,1,1,1,-54
54,DC:A6:32:33:AD:2C,2020-07-18 12:30:15.168246,efbcf9d2-c912-11ea-9b09-dca63233ad2b,1,1,1,-57
55,DC:A6:32:33:AD:2C,2020-07-18 12:30:16.475155,efbcf9d2-c912-11ea-9b09-dca63233ad2b,1,1,1,-57
56,DC:A6:32:33:AD:2C,2020-07-18 12:30:17.085108,efbcf9d2-c912-11ea-9b09-dca63233ad2b,1,1,1,-54
57,DC:A6:32:33:AD:2C,2020-07-18 12:30:18.092619,efbcf9d2-c912-11ea-9b09-dca63233ad2b,1,1,1,-50
58,DC:A6:32:33:AD:2C,2020-07-18 12:30:19.521474,efbcf9d2-c912-11ea-9b09-dca63233ad2b,1,1,1,-50
59,DC:A6:32:33:AD:2C,2020-07-18 12:30:20.103923,efbcf9d2-c912-11ea-9b09-dca63233ad2b,1,1,1,-57
