SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI
0,DC:A6:32:33:AD:2C,2020-07-18 12:27:13.821036,efbcf9d2-c912-11ea-9b09-dca63233ad2b,1,1,1,-56
1,DC:A6:32:33:AD:2C,2020-07-18 12:27:14.050573,efbcf9d2-c912-11ea-9b09-dca63233ad2b,1,1,1,-66
2,DC:A6:32:33:AD:2C,2020-07-18 12:27:15.778408,efbcf9d2-c912-11ea-9b09-dca63233ad2b,1,1,1,-57
3,DC:A6:32:33:AD:2C,2020-07-18 12:27:16.158347,efbcf9d2-c912-11ea-9b09-dca63233ad2b,1,1,1,-59
4,DC:A6:32:33:AD:2C,2020-07-18 12:27:17.067787,efbcf9d2-c912-11ea-9b09-dca63233ad2b,1,1,1,-57
5,DC:A6:32:33:AD:2C,2020-07-18 12:27:18.528423,efbcf9d2-c912-11ea-9b09-dca63233ad2b,1,1,1,-66
6,DC:A6:32:33:AD:2C,2020-07-18 12:27:19.013449,efbcf9d2-c912-11ea-9b09-dca63233ad2b,1,1,1,-66
7,DC:A6:32:33:AD:2C,2020-07-18 12:27:20.320934,efbcf9d2-c912-11ea-9b09-dca63233ad2b,1,1,1,-65
8,DC:A6:32:33:AD:2C,2020-07-18 12:27:21.615305,efbcf9d2-c912-11ea-9b09-dca63233ad2b,1,1,1,-65
9,DC:A6:32:33:AD:2C,2020-07-18 12:27:22.029700,efbcf9d2-c912-11ea-9b09-dca63233ad2b,1,1,1,-66
10,DC:A6:32:33:AD:2C,2020-07-18 12:27:23.278511,efbcf9d2-c912-11ea-9b09-dca63233ad2b,1,1,1,-58
11,DC:A6:32:33:AD:2C,2020-07-18 12:27:24.018556,efbcf9d2-c912-11ea-9b09-dca63233ad2b,1,1,1,-57
12,DC:A6:32:33:AD:2C,2020-07-18 12:27:25.033635,efbcf9d2-c912-11ea-9b09-dca63233ad2b,1,1,1,-56
13,DC:A6:32:33:AD:2C,2020-07-18 12:27:26.007916,efbcf9d2-c912-11ea-9b09-dca63233ad2b,1,1,1,-59
14,DC:A6:32:33:AD:2C,2020-07-18 12:27:27.024848,efbcf9d2-c912-11ea-9b09-dca63233ad2b,1,1,1,-56
15,DC:A6:32:33:AD:2C,2020-07-18 12:27:28.118632,efbcf9d2-c912-11ea-9b09-dca63233ad2b,1,1,1,-65
16,DC:A6:32:33:AD:2C,2020-07-18 12:27:29.219872,efbcf9d2-c912-11ea-9b09-dca63233ad2b,1,1,1,-57
17,DC:A6:32:33:AD:2C,2020-07-18 12:27:30.744359,efbcf9d2-c912-11ea-9b09-dca63233ad2b,1,1,1,-57
18,DC:A6:32:33:AD:2C,2020-07-18 12:27:31.061219,efbcf9d2-c912-11ea-9b09-dca63233ad2b,1,1,1,-66
19,DC:A6:32:33:AD:2C,2020-07-18 12:27:32.336289,efbcf9d2-c912-11ea-9b09-dca63233ad2b,1,1,1,-59
20,DC:A6:32:33:AD:2C,2020-07-18 12:27:33.011256,efbcf9d2-c912-11ea-9b09-dca63233ad2b,1,1,1,-57
21,DC:A6:32:33:AD:2C,2020-07-18 12:27:34.101350,efbcf9d2-c912-11ea-9b09-dca63233ad2b,1,1,1,-65
22,DC:A6:32:33:AD:2C,2020-07-18 12:27:35.201294,efbcf9d2-c912-11ea-9b09-dca63233ad2b,1,1,1,-66
23,DC:A6:32:33:AD:2C,2020-07-18 12:27:36.271334,efbcf9d2-c912-11ea-9b09-dca63233ad2b,1,1,1,-56
24,DC:A6:32:33:AD:2C,2020-07-18 12:27:37.060152,efbcf9d2-c912-11ea-9b09-dca63233ad2b,1,1,1,-59
25,DC:A6:32:33:AD:2C,2020-07-18 12:27:38.132609,efbcf9d2-c912-11ea-9b09-dca63233ad2b,1,1,1,-59
26,DC:A6:32:33:AD:2C,2020-07-18 12:27:39.017625,efbcf9d2-c912-11ea-9b09-dca63233ad2b,1,1,1,-59
27,DC:A6:32:33:AD:2C,2020-07-18 12:27:40.080158,efbcf9d2-c912-11ea-9b09-dca63233ad2b,1,1,1,-59
28,DC:A6:32:33:AD:2C,2020-07-18 12:27:41.148916,efbcf9d2-c912-11ea-9b09-dca63233ad2b,1,1,1,-55
29,DC:A6:32:33:AD:2C,2020-07-18 12:27:42.036553,efbcf9d2-c912-11ea-9b09-dca63233ad2b,1,1,1,-55
30,DC:A6:32:33:AD:2C,2020-07-18 12:27:43.400344,efbcf9d2-c912-11ea-9b09-dca63233ad2b,1,1,1,-59
31,DC:A6:32:33:AD:2C,2020-07-18 12:27:44.200291,efbcf9d2-c912-11ea-9b09-dca63233ad2b,1,1,1,-55
32,DC:A6:32:33:AD:2C,2020-07-18 12:27:45.094175,efbcf9d2-c912-11ea-9b09-dca63233ad2b,1,1,1,-63
33,DC:A6:32:33:AD:2C,2020-07-18 12:27:47.004052,efbcf9d2-c912-11ea-9b09-dca63233ad2b,1,1,1,-60
34,DC:A6:32:33:AD:2C,2020-07-18 12:27:48.009091,efbcf9d2-c912-11ea-9b09-dca63233ad2b,1,1,1,-63
35,DC:A6:32:33:AD:2C,2020-07-18 12:27:49.116173,efbcf9d2-c912-11ea-9b09-dca63233ad2b,1,1,1,-64
36,DC:A6:32:33:AD:2C,2020-07-18 12:27:50.374184,efbcf9d2-c912-11ea-9b09-dca63233ad2b,1,1,1,-65
37,DC:A6:32:33:AD:2C,2020-07-18 12:27:51.010421,efbcf9d2-c912-11ea-9b09-dca63233ad2b,1,1,1,-56
38,DC:A6:32:33:AD:2C,2020-07-18 12:27:52.070466,efbcf9d2-c912-11ea-9b09-dca63233ad2b,1,1,1,-64
39,DC:A6:32:33:AD:2C,2020-07-18 12:27:53.109311,efbcf9d2-c912-11ea-9b09-dca63233ad2b,1,1,1,-62
40,DC:A6:32:33:AD:2C,2020-07-18 12:27:54.391861,efbcf9d2-c912-11ea-9b09-dca63233ad2b,1,1,1,-61
41,DC:A6:32:33:AD:2C,2020-07-18 12:27:55.029297,efbcf9d2-c912-11ea-9b09-dca63233ad2b,1,1,1,-54
42,DC:A6:32:33:AD:2C,2020-07-18 12:27:56.101857,efbcf9d2-c912-11ea-9b09-dca63233ad2b,1,1,1,-61
43,DC:A6:32:33:AD:2C,2020-07-18 12:27:57.451843,efbcf9d2-c912-11ea-9b09-dca63233ad2b,1,1,1,-55
44,DC:A6:32:33:AD:2C,2020-07-18 12:27:58.420687,efbcf9d2-c912-11ea-9b09-dca63233ad2b,1,1,1,-59
45,DC:A6:32:33:AD:2C,2020-07-18 12:27:59.008137,efbcf9d2-c912-11ea-9b09-dca63233ad2b,1,1,1,-55
46,DC:A6:32:33:AD:2C,2020-07-18 12:28:00.191988,efbcf9d2-c912-11ea-9b09-dca63233ad2b,1,1,1,-58
47,DC:A6:32:33:AD:2C,2020-07-18 12:28:01.009477,efbcf9d2-c912-11ea-9b09-dca63233ad2b,1,1,1,-64
48,DC:A6:32:33:AD:2C,2020-07-18 12:28:02.233225,efbcf9d2-c912-11ea-9b09-dca63233ad2b,1,1,1,-56
49,DC:A6:32:33:AD:2C,2020-07-18 12:28:03.045792,efbcf9d2-c912-11ea-9b09-dca63233ad2b,1,1,1,-64
50,DC:A6:32:33:AD:2C,2020-07-18 12:28:04.319531,efbcf9d2-c912-11ea-9b09-dca63233ad2b,1,1,1,-59
51,DC:A6:32:33:AD:2C,2020-07-18 12:28:05.093262,efbcf9d2-c912-11ea-9b09-dca63233ad2b,1,1,1,-59
52,DC:A6:32:33:AD:2C,2020-07-18 12:28:06.198960,efbcf9d2-c912-11ea-9b09-dca63233ad2b,1,1,1,-59
53,DC:A6:32:33:AD:2C,2020-07-18 12:28:07.080882,efbcf9d2-c912-11ea-9b09-dca63233ad2b,1,1,1,-60
54,DC:A6:32:33:AD:2C,2020-07-18 12:28:08.628388,efbcf9d2-c912-11ea-9b09-dca63233ad2b,1,1,1,-68
55,DC:A6:32:33:AD:2C,2020-07-18 12:28:09.004583,efbcf9d2-c912-11ea-9b09-dca63233ad2b,1,1,1,-72
56,DC:A6:32:33:AD:2C,2020-07-18 12:28:10.053397,efbcf9d2-c912-11ea-9b09-dca63233ad2b,1,1,1,-57
57,DC:A6:32:33:AD:2C,2020-07-18 12:28:11.044685,efbcf9d2-c912-11ea-9b09-dca63233ad2b,1,1,1,-58
58,DC:A6:32:33:AD:2C,2020-07-18 12:28:12.029731,efbcf9d2-c912-11ea-9b09-dca63233ad2b,1,1,1,-57
59,DC:A6:32:33:AD:2C,2020-07-18 12:28:13.123460,efbcf9d2-c912-11ea-9b09-dca63233ad2b,1,1,1,-58
