SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI
0,DC:A6:32:33:AD:2C,2020-07-13 16:39:24.609926,d132d1bc-c548-11ea-82d7-dca63233ad2b,1,1,1,-54
1,DC:A6:32:33:AD:2C,2020-07-13 16:39:25.088513,d132d1bc-c548-11ea-82d7-dca63233ad2b,1,1,1,-44
2,DC:A6:32:33:AD:2C,2020-07-13 16:39:26.074986,d132d1bc-c548-11ea-82d7-dca63233ad2b,1,1,1,-54
3,DC:A6:32:33:AD:2C,2020-07-13 16:39:27.058643,d132d1bc-c548-11ea-82d7-dca63233ad2b,1,1,1,-54
4,DC:A6:32:33:AD:2C,2020-07-13 16:39:28.073757,d132d1bc-c548-11ea-82d7-dca63233ad2b,1,1,1,-53
5,DC:A6:32:33:AD:2C,2020-07-13 16:39:29.238801,d132d1bc-c548-11ea-82d7-dca63233ad2b,1,1,1,-54
6,DC:A6:32:33:AD:2C,2020-07-13 16:39:30.003690,d132d1bc-c548-11ea-82d7-dca63233ad2b,1,1,1,-56
7,DC:A6:32:33:AD:2C,2020-07-13 16:39:31.016162,d132d1bc-c548-11ea-82d7-dca63233ad2b,1,1,1,-55
8,DC:A6:32:33:AD:2C,2020-07-13 16:39:32.235065,d132d1bc-c548-11ea-82d7-dca63233ad2b,1,1,1,-55
9,DC:A6:32:33:AD:2C,2020-07-13 16:39:33.026181,d132d1bc-c548-11ea-82d7-dca63233ad2b,1,1,1,-55
10,DC:A6:32:33:AD:2C,2020-07-13 16:39:34.120530,d132d1bc-c548-11ea-82d7-dca63233ad2b,1,1,1,-54
11,DC:A6:32:33:AD:2C,2020-07-13 16:39:35.426254,d132d1bc-c548-11ea-82d7-dca63233ad2b,1,1,1,-54
12,DC:A6:32:33:AD:2C,2020-07-13 16:39:36.035067,d132d1bc-c548-11ea-82d7-dca63233ad2b,1,1,1,-41
13,DC:A6:32:33:AD:2C,2020-07-13 16:39:37.307588,d132d1bc-c548-11ea-82d7-dca63233ad2b,1,1,1,-56
14,DC:A6:32:33:AD:2C,2020-07-13 16:39:38.182459,d132d1bc-c548-11ea-82d7-dca63233ad2b,1,1,1,-54
15,DC:A6:32:33:AD:2C,2020-07-13 16:39:39.433688,d132d1bc-c548-11ea-82d7-dca63233ad2b,1,1,1,-56
16,DC:A6:32:33:AD:2C,2020-07-13 16:39:40.268686,d132d1bc-c548-11ea-82d7-dca63233ad2b,1,1,1,-43
17,DC:A6:32:33:AD:2C,2020-07-13 16:39:41.752582,d132d1bc-c548-11ea-82d7-dca63233ad2b,1,1,1,-55
18,DC:A6:32:33:AD:2C,2020-07-13 16:39:42.160581,d132d1bc-c548-11ea-82d7-dca63233ad2b,1,1,1,-54
19,DC:A6:32:33:AD:2C,2020-07-13 16:39:43.026205,d132d1bc-c548-11ea-82d7-dca63233ad2b,1,1,1,-43
20,DC:A6:32:33:AD:2C,2020-07-13 16:39:44.168770,d132d1bc-c548-11ea-82d7-dca63233ad2b,1,1,1,-56
21,DC:A6:32:33:AD:2C,2020-07-13 16:39:45.756234,d132d1bc-c548-11ea-82d7-dca63233ad2b,1,1,1,-46
22,DC:A6:32:33:AD:2C,2020-07-13 16:39:46.016222,d132d1bc-c548-11ea-82d7-dca63233ad2b,1,1,1,-55
23,DC:A6:32:33:AD:2C,2020-07-13 16:39:47.023096,d132d1bc-c548-11ea-82d7-dca63233ad2b,1,1,1,-54
24,DC:A6:32:33:AD:2C,2020-07-13 16:39:48.088842,d132d1bc-c548-11ea-82d7-dca63233ad2b,1,1,1,-54
25,DC:A6:32:33:AD:2C,2020-07-13 16:39:49.056882,d132d1bc-c548-11ea-82d7-dca63233ad2b,1,1,1,-54
26,DC:A6:32:33:AD:2C,2020-07-13 16:39:50.415099,d132d1bc-c548-11ea-82d7-dca63233ad2b,1,1,1,-45
27,DC:A6:32:33:AD:2C,2020-07-13 16:39:51.055056,d132d1bc-c548-11ea-82d7-dca63233ad2b,1,1,1,-45
