SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI
0,DC:A6:32:33:AD:2C,2020-07-13 16:50:45.797385,d132d1bc-c548-11ea-82d7-dca63233ad2b,1,1,1,-62
1,DC:A6:32:33:AD:2C,2020-07-13 16:50:46.052677,d132d1bc-c548-11ea-82d7-dca63233ad2b,1,1,1,-58
2,DC:A6:32:33:AD:2C,2020-07-13 16:50:47.033017,d132d1bc-c548-11ea-82d7-dca63233ad2b,1,1,1,-61
3,DC:A6:32:33:AD:2C,2020-07-13 16:50:48.140491,d132d1bc-c548-11ea-82d7-dca63233ad2b,1,1,1,-56
4,DC:A6:32:33:AD:2C,2020-07-13 16:50:49.112964,d132d1bc-c548-11ea-82d7-dca63233ad2b,1,1,1,-57
5,DC:A6:32:33:AD:2C,2020-07-13 16:50:50.011846,d132d1bc-c548-11ea-82d7-dca63233ad2b,1,1,1,-63
6,DC:A6:32:33:AD:2C,2020-07-13 16:50:51.009244,d132d1bc-c548-11ea-82d7-dca63233ad2b,1,1,1,-57
7,DC:A6:32:33:AD:2C,2020-07-13 16:50:52.126878,d132d1bc-c548-11ea-82d7-dca63233ad2b,1,1,1,-60
8,DC:A6:32:33:AD:2C,2020-07-13 16:50:53.251778,d132d1bc-c548-11ea-82d7-dca63233ad2b,1,1,1,-62
9,DC:A6:32:33:AD:2C,2020-07-13 16:50:54.376225,d132d1bc-c548-11ea-82d7-dca63233ad2b,1,1,1,-59
10,DC:A6:32:33:AD:2C,2020-07-13 16:50:55.123717,d132d1bc-c548-11ea-82d7-dca63233ad2b,1,1,1,-64
11,DC:A6:32:33:AD:2C,2020-07-13 16:50:56.126879,d132d1bc-c548-11ea-82d7-dca63233ad2b,1,1,1,-60
12,DC:A6:32:33:AD:2C,2020-07-13 16:50:57.010078,d132d1bc-c548-11ea-82d7-dca63233ad2b,1,1,1,-64
13,DC:A6:32:33:AD:2C,2020-07-13 16:50:58.126230,d132d1bc-c548-11ea-82d7-dca63233ad2b,1,1,1,-56
14,DC:A6:32:33:AD:2C,2020-07-13 16:51:00.130722,d132d1bc-c548-11ea-82d7-dca63233ad2b,1,1,1,-64
15,DC:A6:32:33:AD:2C,2020-07-13 16:51:02.135787,d132d1bc-c548-11ea-82d7-dca63233ad2b,1,1,1,-60
16,DC:A6:32:33:AD:2C,2020-07-13 16:51:03.393287,d132d1bc-c548-11ea-82d7-dca63233ad2b,1,1,1,-64
17,DC:A6:32:33:AD:2C,2020-07-13 16:51:04.008213,d132d1bc-c548-11ea-82d7-dca63233ad2b,1,1,1,-55
18,DC:A6:32:33:AD:2C,2020-07-13 16:51:05.497004,d132d1bc-c548-11ea-82d7-dca63233ad2b,1,1,1,-57
19,DC:A6:32:33:AD:2C,2020-07-13 16:51:06.040769,d132d1bc-c548-11ea-82d7-dca63233ad2b,1,1,1,-60
20,DC:A6:32:33:AD:2C,2020-07-13 16:51:07.036851,d132d1bc-c548-11ea-82d7-dca63233ad2b,1,1,1,-64
21,DC:A6:32:33:AD:2C,2020-07-13 16:51:08.472233,d132d1bc-c548-11ea-82d7-dca63233ad2b,1,1,1,-57
22,DC:A6:32:33:AD:2C,2020-07-13 16:51:09.089614,d132d1bc-c548-11ea-82d7-dca63233ad2b,1,1,1,-57
23,DC:A6:32:33:AD:2C,2020-07-13 16:51:10.003429,d132d1bc-c548-11ea-82d7-dca63233ad2b,1,1,1,-63
24,DC:A6:32:33:AD:2C,2020-07-13 16:51:11.158513,d132d1bc-c548-11ea-82d7-dca63233ad2b,1,1,1,-57
25,DC:A6:32:33:AD:2C,2020-07-13 16:51:12.527200,d132d1bc-c548-11ea-82d7-dca63233ad2b,1,1,1,-56
26,DC:A6:32:33:AD:2C,2020-07-13 16:51:13.003378,d132d1bc-c548-11ea-82d7-dca63233ad2b,1,1,1,-56
27,DC:A6:32:33:AD:2C,2020-07-13 16:51:14.413403,d132d1bc-c548-11ea-82d7-dca63233ad2b,1,1,1,-60
28,DC:A6:32:33:AD:2C,2020-07-13 16:51:15.062206,d132d1bc-c548-11ea-82d7-dca63233ad2b,1,1,1,-60
