SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI
0,DC:A6:32:33:AD:2C,2020-07-14 18:25:52.795053,41d95972-c620-11ea-acbc-dca63233ad2b,1,1,1,-54
1,DC:A6:32:33:AD:2C,2020-07-14 18:25:53.044293,41d95972-c620-11ea-acbc-dca63233ad2b,1,1,1,-54
2,DC:A6:32:33:AD:2C,2020-07-14 18:25:55.048479,41d95972-c620-11ea-acbc-dca63233ad2b,1,1,1,-54
3,DC:A6:32:33:AD:2C,2020-07-14 18:25:57.053458,41d95972-c620-11ea-acbc-dca63233ad2b,1,1,1,-56
4,DC:A6:32:33:AD:2C,2020-07-14 18:25:58.030391,41d95972-c620-11ea-acbc-dca63233ad2b,1,1,1,-56
5,DC:A6:32:33:AD:2C,2020-07-14 18:25:59.045949,41d95972-c620-11ea-acbc-dca63233ad2b,1,1,1,-56
6,DC:A6:32:33:AD:2C,2020-07-14 18:26:00.140315,41d95972-c620-11ea-acbc-dca63233ad2b,1,1,1,-54
7,DC:A6:32:33:AD:2C,2020-07-14 18:26:01.009765,41d95972-c620-11ea-acbc-dca63233ad2b,1,1,1,-54
8,DC:A6:32:33:AD:2C,2020-07-14 18:26:02.209793,41d95972-c620-11ea-acbc-dca63233ad2b,1,1,1,-57
9,DC:A6:32:33:AD:2C,2020-07-14 18:26:03.663619,41d95972-c620-11ea-acbc-dca63233ad2b,1,1,1,-53
10,DC:A6:32:33:AD:2C,2020-07-14 18:26:04.008620,41d95972-c620-11ea-acbc-dca63233ad2b,1,1,1,-54
11,DC:A6:32:33:AD:2C,2020-07-14 18:26:05.004890,41d95972-c620-11ea-acbc-dca63233ad2b,1,1,1,-54
12,DC:A6:32:33:AD:2C,2020-07-14 18:26:06.095548,41d95972-c620-11ea-acbc-dca63233ad2b,1,1,1,-56
13,DC:A6:32:33:AD:2C,2020-07-14 18:26:07.170033,41d95972-c620-11ea-acbc-dca63233ad2b,1,1,1,-56
14,DC:A6:32:33:AD:2C,2020-07-14 18:26:08.567464,41d95972-c620-11ea-acbc-dca63233ad2b,1,1,1,-57
15,DC:A6:32:33:AD:2C,2020-07-14 18:26:09.326332,41d95972-c620-11ea-acbc-dca63233ad2b,1,1,1,-57
16,DC:A6:32:33:AD:2C,2020-07-14 18:26:10.192570,41d95972-c620-11ea-acbc-dca63233ad2b,1,1,1,-54
17,DC:A6:32:33:AD:2C,2020-07-14 18:26:12.046932,41d95972-c620-11ea-acbc-dca63233ad2b,1,1,1,-54
18,DC:A6:32:33:AD:2C,2020-07-14 18:26:13.195087,41d95972-c620-11ea-acbc-dca63233ad2b,1,1,1,-57
19,DC:A6:32:33:AD:2C,2020-07-14 18:26:14.046365,41d95972-c620-11ea-acbc-dca63233ad2b,1,1,1,-55
20,DC:A6:32:33:AD:2C,2020-07-14 18:26:15.403977,41d95972-c620-11ea-acbc-dca63233ad2b,1,1,1,-57
21,DC:A6:32:33:AD:2C,2020-07-14 18:26:16.084618,41d95972-c620-11ea-acbc-dca63233ad2b,1,1,1,-55
22,DC:A6:32:33:AD:2C,2020-07-14 18:26:17.016473,41d95972-c620-11ea-acbc-dca63233ad2b,1,1,1,-54
23,DC:A6:32:33:AD:2C,2020-07-14 18:26:18.300367,41d95972-c620-11ea-acbc-dca63233ad2b,1,1,1,-57
24,DC:A6:32:33:AD:2C,2020-07-14 18:26:19.016524,41d95972-c620-11ea-acbc-dca63233ad2b,1,1,1,-55
25,DC:A6:32:33:AD:2C,2020-07-14 18:26:20.566585,41d95972-c620-11ea-acbc-dca63233ad2b,1,1,1,-55
26,DC:A6:32:33:AD:2C,2020-07-14 18:26:21.020307,41d95972-c620-11ea-acbc-dca63233ad2b,1,1,1,-57
27,DC:A6:32:33:AD:2C,2020-07-14 18:26:22.466753,41d95972-c620-11ea-acbc-dca63233ad2b,1,1,1,-55
28,DC:A6:32:33:AD:2C,2020-07-14 18:26:23.013505,41d95972-c620-11ea-acbc-dca63233ad2b,1,1,1,-54
29,DC:A6:32:33:AD:2C,2020-07-14 18:26:24.025452,41d95972-c620-11ea-acbc-dca63233ad2b,1,1,1,-55
30,DC:A6:32:33:AD:2C,2020-07-14 18:26:25.206745,41d95972-c620-11ea-acbc-dca63233ad2b,1,1,1,-54
31,DC:A6:32:33:AD:2C,2020-07-14 18:26:26.005481,41d95972-c620-11ea-acbc-dca63233ad2b,1,1,1,-56
32,DC:A6:32:33:AD:2C,2020-07-14 18:26:27.376920,41d95972-c620-11ea-acbc-dca63233ad2b,1,1,1,-55
33,DC:A6:32:33:AD:2C,2020-07-14 18:26:28.138059,41d95972-c620-11ea-acbc-dca63233ad2b,1,1,1,-57
34,DC:A6:32:33:AD:2C,2020-07-14 18:26:29.151817,41d95972-c620-11ea-acbc-dca63233ad2b,1,1,1,-54
35,DC:A6:32:33:AD:2C,2020-07-14 18:26:30.391283,41d95972-c620-11ea-acbc-dca63233ad2b,1,1,1,-53
36,DC:A6:32:33:AD:2C,2020-07-14 18:26:31.280643,41d95972-c620-11ea-acbc-dca63233ad2b,1,1,1,-55
37,DC:A6:32:33:AD:2C,2020-07-14 18:26:32.015658,41d95972-c620-11ea-acbc-dca63233ad2b,1,1,1,-55
38,DC:A6:32:33:AD:2C,2020-07-14 18:26:33.559514,41d95972-c620-11ea-acbc-dca63233ad2b,1,1,1,-55
39,DC:A6:32:33:AD:2C,2020-07-14 18:26:34.108211,41d95972-c620-11ea-acbc-dca63233ad2b,1,1,1,-54
40,DC:A6:32:33:AD:2C,2020-07-14 18:26:35.182705,41d95972-c620-11ea-acbc-dca63233ad2b,1,1,1,-54
41,DC:A6:32:33:AD:2C,2020-07-14 18:26:36.035779,41d95972-c620-11ea-acbc-dca63233ad2b,1,1,1,-55
42,DC:A6:32:33:AD:2C,2020-07-14 18:26:37.127093,41d95972-c620-11ea-acbc-dca63233ad2b,1,1,1,-57
43,DC:A6:32:33:AD:2C,2020-07-14 18:26:38.118948,41d95972-c620-11ea-acbc-dca63233ad2b,1,1,1,-57
44,DC:A6:32:33:AD:2C,2020-07-14 18:26:39.064701,41d95972-c620-11ea-acbc-dca63233ad2b,1,1,1,-55
45,DC:A6:32:33:AD:2C,2020-07-14 18:26:40.395995,41d95972-c620-11ea-acbc-dca63233ad2b,1,1,1,-54
46,DC:A6:32:33:AD:2C,2020-07-14 18:26:41.049672,41d95972-c620-11ea-acbc-dca63233ad2b,1,1,1,-57
47,DC:A6:32:33:AD:2C,2020-07-14 18:26:42.027228,41d95972-c620-11ea-acbc-dca63233ad2b,1,1,1,-55
48,DC:A6:32:33:AD:2C,2020-07-14 18:26:43.069858,41d95972-c620-11ea-acbc-dca63233ad2b,1,1,1,-54
49,DC:A6:32:33:AD:2C,2020-07-14 18:26:44.210395,41d95972-c620-11ea-acbc-dca63233ad2b,1,1,1,-57
50,DC:A6:32:33:AD:2C,2020-07-14 18:26:45.008566,41d95972-c620-11ea-acbc-dca63233ad2b,1,1,1,-57
51,DC:A6:32:33:AD:2C,2020-07-14 18:26:47.013780,41d95972-c620-11ea-acbc-dca63233ad2b,1,1,1,-57
52,DC:A6:32:33:AD:2C,2020-07-14 18:26:48.017391,41d95972-c620-11ea-acbc-dca63233ad2b,1,1,1,-54
53,DC:A6:32:33:AD:2C,2020-07-14 18:26:49.108678,41d95972-c620-11ea-acbc-dca63233ad2b,1,1,1,-57
