SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI
0,DC:A6:32:33:AD:2C,2020-07-14 18:21:30.585839,41d95972-c620-11ea-acbc-dca63233ad2b,1,1,1,-63
1,DC:A6:32:33:AD:2C,2020-07-14 18:21:31.028251,41d95972-c620-11ea-acbc-dca63233ad2b,1,1,1,-64
2,DC:A6:32:33:AD:2C,2020-07-14 18:21:32.239133,41d95972-c620-11ea-acbc-dca63233ad2b,1,1,1,-64
3,DC:A6:32:33:AD:2C,2020-07-14 18:21:33.029138,41d95972-c620-11ea-acbc-dca63233ad2b,1,1,1,-64
4,DC:A6:32:33:AD:2C,2020-07-14 18:21:34.326634,41d95972-c620-11ea-acbc-dca63233ad2b,1,1,1,-62
5,DC:A6:32:33:AD:2C,2020-07-14 18:21:35.030390,41d95972-c620-11ea-acbc-dca63233ad2b,1,1,1,-61
6,DC:A6:32:33:AD:2C,2020-07-14 18:21:37.034889,41d95972-c620-11ea-acbc-dca63233ad2b,1,1,1,-55
7,DC:A6:32:33:AD:2C,2020-07-14 18:21:38.074305,41d95972-c620-11ea-acbc-dca63233ad2b,1,1,1,-56
8,DC:A6:32:33:AD:2C,2020-07-14 18:21:39.215571,41d95972-c620-11ea-acbc-dca63233ad2b,1,1,1,-56
9,DC:A6:32:33:AD:2C,2020-07-14 18:21:40.030576,41d95972-c620-11ea-acbc-dca63233ad2b,1,1,1,-56
10,DC:A6:32:33:AD:2C,2020-07-14 18:21:41.473789,41d95972-c620-11ea-acbc-dca63233ad2b,1,1,1,-56
11,DC:A6:32:33:AD:2C,2020-07-14 18:21:42.026884,41d95972-c620-11ea-acbc-dca63233ad2b,1,1,1,-65
12,DC:A6:32:33:AD:2C,2020-07-14 18:21:43.001916,41d95972-c620-11ea-acbc-dca63233ad2b,1,1,1,-55
13,DC:A6:32:33:AD:2C,2020-07-14 18:21:44.098120,41d95972-c620-11ea-acbc-dca63233ad2b,1,1,1,-65
14,DC:A6:32:33:AD:2C,2020-07-14 18:21:45.680754,41d95972-c620-11ea-acbc-dca63233ad2b,1,1,1,-61
15,DC:A6:32:33:AD:2C,2020-07-14 18:21:46.013165,41d95972-c620-11ea-acbc-dca63233ad2b,1,1,1,-61
16,DC:A6:32:33:AD:2C,2020-07-14 18:21:47.526988,41d95972-c620-11ea-acbc-dca63233ad2b,1,1,1,-62
17,DC:A6:32:33:AD:2C,2020-07-14 18:21:48.036388,41d95972-c620-11ea-acbc-dca63233ad2b,1,1,1,-65
18,DC:A6:32:33:AD:2C,2020-07-14 18:21:49.113959,41d95972-c620-11ea-acbc-dca63233ad2b,1,1,1,-65
19,DC:A6:32:33:AD:2C,2020-07-14 18:21:50.248985,41d95972-c620-11ea-acbc-dca63233ad2b,1,1,1,-55
20,DC:A6:32:33:AD:2C,2020-07-14 18:21:51.009605,41d95972-c620-11ea-acbc-dca63233ad2b,1,1,1,-55
21,DC:A6:32:33:AD:2C,2020-07-14 18:21:53.014686,41d95972-c620-11ea-acbc-dca63233ad2b,1,1,1,-61
22,DC:A6:32:33:AD:2C,2020-07-14 18:21:55.019906,41d95972-c620-11ea-acbc-dca63233ad2b,1,1,1,-55
23,DC:A6:32:33:AD:2C,2020-07-14 18:21:56.315481,41d95972-c620-11ea-acbc-dca63233ad2b,1,1,1,-55
24,DC:A6:32:33:AD:2C,2020-07-14 18:21:57.004235,41d95972-c620-11ea-acbc-dca63233ad2b,1,1,1,-62
25,DC:A6:32:33:AD:2C,2020-07-14 18:21:58.336111,41d95972-c620-11ea-acbc-dca63233ad2b,1,1,1,-65
26,DC:A6:32:33:AD:2C,2020-07-14 18:21:59.306121,41d95972-c620-11ea-acbc-dca63233ad2b,1,1,1,-56
27,DC:A6:32:33:AD:2C,2020-07-14 18:22:00.037379,41d95972-c620-11ea-acbc-dca63233ad2b,1,1,1,-56
28,DC:A6:32:33:AD:2C,2020-07-14 18:22:01.443884,41d95972-c620-11ea-acbc-dca63233ad2b,1,1,1,-61
29,DC:A6:32:33:AD:2C,2020-07-14 18:22:02.057479,41d95972-c620-11ea-acbc-dca63233ad2b,1,1,1,-56
30,DC:A6:32:33:AD:2C,2020-07-14 18:22:03.128875,41d95972-c620-11ea-acbc-dca63233ad2b,1,1,1,-60
31,DC:A6:32:33:AD:2C,2020-07-14 18:22:04.172777,41d95972-c620-11ea-acbc-dca63233ad2b,1,1,1,-56
32,DC:A6:32:33:AD:2C,2020-07-14 18:22:05.080186,41d95972-c620-11ea-acbc-dca63233ad2b,1,1,1,-61
33,DC:A6:32:33:AD:2C,2020-07-14 18:22:06.196500,41d95972-c620-11ea-acbc-dca63233ad2b,1,1,1,-56
34,DC:A6:32:33:AD:2C,2020-07-14 18:22:07.211545,41d95972-c620-11ea-acbc-dca63233ad2b,1,1,1,-56
35,DC:A6:32:33:AD:2C,2020-07-14 18:22:08.007756,41d95972-c620-11ea-acbc-dca63233ad2b,1,1,1,-61
36,DC:A6:32:33:AD:2C,2020-07-14 18:22:09.040375,41d95972-c620-11ea-acbc-dca63233ad2b,1,1,1,-57
37,DC:A6:32:33:AD:2C,2020-07-14 18:22:10.942950,41d95972-c620-11ea-acbc-dca63233ad2b,1,1,1,-65
38,DC:A6:32:33:AD:2C,2020-07-14 18:22:11.002726,41d95972-c620-11ea-acbc-dca63233ad2b,1,1,1,-57
39,DC:A6:32:33:AD:2C,2020-07-14 18:22:12.248468,41d95972-c620-11ea-acbc-dca63233ad2b,1,1,1,-64
40,DC:A6:32:33:AD:2C,2020-07-14 18:22:13.277923,41d95972-c620-11ea-acbc-dca63233ad2b,1,1,1,-61
41,DC:A6:32:33:AD:2C,2020-07-14 18:22:14.042825,41d95972-c620-11ea-acbc-dca63233ad2b,1,1,1,-56
42,DC:A6:32:33:AD:2C,2020-07-14 18:22:15.027975,41d95972-c620-11ea-acbc-dca63233ad2b,1,1,1,-62
43,DC:A6:32:33:AD:2C,2020-07-14 18:22:16.061641,41d95972-c620-11ea-acbc-dca63233ad2b,1,1,1,-56
44,DC:A6:32:33:AD:2C,2020-07-14 18:22:17.158528,41d95972-c620-11ea-acbc-dca63233ad2b,1,1,1,-66
45,DC:A6:32:33:AD:2C,2020-07-14 18:22:18.204275,41d95972-c620-11ea-acbc-dca63233ad2b,1,1,1,-62
46,DC:A6:32:33:AD:2C,2020-07-14 18:22:19.238051,41d95972-c620-11ea-acbc-dca63233ad2b,1,1,1,-55
47,DC:A6:32:33:AD:2C,2020-07-14 18:22:20.008052,41d95972-c620-11ea-acbc-dca63233ad2b,1,1,1,-65
