f, h, t
3, 37, 102
4, 32, 105.5
5, 29, 108
6, 26, 111
7, 23.5, 115.3
8, 21.5, 115.9
9, 20, 117.2
Real temp (actually for the next hour not NOW): 85. real feel 96. Seat was really hot
