SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI
0,DC:A6:32:33:AD:2C,2020-07-14 19:53:13.003459,99251936-c62b-11ea-8420-dca63233ad2b,1,1,1,-69
1,DC:A6:32:33:AD:2C,2020-07-14 19:53:14.007768,99251936-c62b-11ea-8420-dca63233ad2b,1,1,1,-67
2,DC:A6:32:33:AD:2C,2020-07-14 19:53:15.021514,99251936-c62b-11ea-8420-dca63233ad2b,1,1,1,-67
3,DC:A6:32:33:AD:2C,2020-07-14 19:53:16.061592,99251936-c62b-11ea-8420-dca63233ad2b,1,1,1,-61
4,DC:A6:32:33:AD:2C,2020-07-14 19:53:17.412647,99251936-c62b-11ea-8420-dca63233ad2b,1,1,1,-65
5,DC:A6:32:33:AD:2C,2020-07-14 19:53:18.574074,99251936-c62b-11ea-8420-dca63233ad2b,1,1,1,-68
6,DC:A6:32:33:AD:2C,2020-07-14 19:53:19.125858,99251936-c62b-11ea-8420-dca63233ad2b,1,1,1,-66
7,DC:A6:32:33:AD:2C,2020-07-14 19:53:20.064175,99251936-c62b-11ea-8420-dca63233ad2b,1,1,1,-61
8,DC:A6:32:33:AD:2C,2020-07-14 19:53:21.157985,99251936-c62b-11ea-8420-dca63233ad2b,1,1,1,-65
9,DC:A6:32:33:AD:2C,2020-07-14 19:53:22.042834,99251936-c62b-11ea-8420-dca63233ad2b,1,1,1,-64
10,DC:A6:32:33:AD:2C,2020-07-14 19:53:23.409823,99251936-c62b-11ea-8420-dca63233ad2b,1,1,1,-61
11,DC:A6:32:33:AD:2C,2020-07-14 19:53:24.141013,99251936-c62b-11ea-8420-dca63233ad2b,1,1,1,-61
12,DC:A6:32:33:AD:2C,2020-07-14 19:53:25.094193,99251936-c62b-11ea-8420-dca63233ad2b,1,1,1,-65
13,DC:A6:32:33:AD:2C,2020-07-14 19:53:26.004202,99251936-c62b-11ea-8420-dca63233ad2b,1,1,1,-66
14,DC:A6:32:33:AD:2C,2020-07-14 19:53:27.793632,99251936-c62b-11ea-8420-dca63233ad2b,1,1,1,-65
15,DC:A6:32:33:AD:2C,2020-07-14 19:53:28.021610,99251936-c62b-11ea-8420-dca63233ad2b,1,1,1,-61
16,DC:A6:32:33:AD:2C,2020-07-14 19:53:29.066422,99251936-c62b-11ea-8420-dca63233ad2b,1,1,1,-65
17,DC:A6:32:33:AD:2C,2020-07-14 19:53:30.079381,99251936-c62b-11ea-8420-dca63233ad2b,1,1,1,-66
18,DC:A6:32:33:AD:2C,2020-07-14 19:53:31.163109,99251936-c62b-11ea-8420-dca63233ad2b,1,1,1,-64
19,DC:A6:32:33:AD:2C,2020-07-14 19:53:33.175521,99251936-c62b-11ea-8420-dca63233ad2b,1,1,1,-67
20,DC:A6:32:33:AD:2C,2020-07-14 19:53:34.126704,99251936-c62b-11ea-8420-dca63233ad2b,1,1,1,-64
21,DC:A6:32:33:AD:2C,2020-07-14 19:53:35.164451,99251936-c62b-11ea-8420-dca63233ad2b,1,1,1,-64
22,DC:A6:32:33:AD:2C,2020-07-14 19:53:36.444218,99251936-c62b-11ea-8420-dca63233ad2b,1,1,1,-62
23,DC:A6:32:33:AD:2C,2020-07-14 19:53:37.017939,99251936-c62b-11ea-8420-dca63233ad2b,1,1,1,-61
24,DC:A6:32:33:AD:2C,2020-07-14 19:53:38.095466,99251936-c62b-11ea-8420-dca63233ad2b,1,1,1,-64
25,DC:A6:32:33:AD:2C,2020-07-14 19:53:39.064205,99251936-c62b-11ea-8420-dca63233ad2b,1,1,1,-64
26,DC:A6:32:33:AD:2C,2020-07-14 19:53:40.034275,99251936-c62b-11ea-8420-dca63233ad2b,1,1,1,-67
27,DC:A6:32:33:AD:2C,2020-07-14 19:53:41.126826,99251936-c62b-11ea-8420-dca63233ad2b,1,1,1,-64
28,DC:A6:32:33:AD:2C,2020-07-14 19:53:42.078655,99251936-c62b-11ea-8420-dca63233ad2b,1,1,1,-64
29,DC:A6:32:33:AD:2C,2020-07-14 19:53:43.048132,99251936-c62b-11ea-8420-dca63233ad2b,1,1,1,-63
30,DC:A6:32:33:AD:2C,2020-07-14 19:53:45.057072,99251936-c62b-11ea-8420-dca63233ad2b,1,1,1,-64
31,DC:A6:32:33:AD:2C,2020-07-14 19:53:46.045590,99251936-c62b-11ea-8420-dca63233ad2b,1,1,1,-65
32,DC:A6:32:33:AD:2C,2020-07-14 19:53:47.028694,99251936-c62b-11ea-8420-dca63233ad2b,1,1,1,-60
33,DC:A6:32:33:AD:2C,2020-07-14 19:53:48.003107,99251936-c62b-11ea-8420-dca63233ad2b,1,1,1,-60
34,DC:A6:32:33:AD:2C,2020-07-14 19:53:49.024366,99251936-c62b-11ea-8420-dca63233ad2b,1,1,1,-64
35,DC:A6:32:33:AD:2C,2020-07-14 19:53:50.033722,99251936-c62b-11ea-8420-dca63233ad2b,1,1,1,-67
36,DC:A6:32:33:AD:2C,2020-07-14 19:53:51.095654,99251936-c62b-11ea-8420-dca63233ad2b,1,1,1,-64
37,DC:A6:32:33:AD:2C,2020-07-14 19:53:53.055615,99251936-c62b-11ea-8420-dca63233ad2b,1,1,1,-61
38,DC:A6:32:33:AD:2C,2020-07-14 19:53:54.029957,99251936-c62b-11ea-8420-dca63233ad2b,1,1,1,-66
39,DC:A6:32:33:AD:2C,2020-07-14 19:53:55.554336,99251936-c62b-11ea-8420-dca63233ad2b,1,1,1,-67
40,DC:A6:32:33:AD:2C,2020-07-14 19:53:56.038067,99251936-c62b-11ea-8420-dca63233ad2b,1,1,1,-65
41,DC:A6:32:33:AD:2C,2020-07-14 19:53:57.208218,99251936-c62b-11ea-8420-dca63233ad2b,1,1,1,-60
42,DC:A6:32:33:AD:2C,2020-07-14 19:53:58.083793,99251936-c62b-11ea-8420-dca63233ad2b,1,1,1,-67
