SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI
0,DC:A6:32:33:AD:2C,2020-07-14 14:01:29.709112,a70fa0be-c5fb-11ea-8eef-dca63233ad2b,1,1,1,-49
1,DC:A6:32:33:AD:2C,2020-07-14 14:01:30.110358,a70fa0be-c5fb-11ea-8eef-dca63233ad2b,1,1,1,-59
2,DC:A6:32:33:AD:2C,2020-07-14 14:01:31.463138,a70fa0be-c5fb-11ea-8eef-dca63233ad2b,1,1,1,-49
3,DC:A6:32:33:AD:2C,2020-07-14 14:01:32.009277,a70fa0be-c5fb-11ea-8eef-dca63233ad2b,1,1,1,-57
4,DC:A6:32:33:AD:2C,2020-07-14 14:01:34.014372,a70fa0be-c5fb-11ea-8eef-dca63233ad2b,1,1,1,-60
5,DC:A6:32:33:AD:2C,2020-07-14 14:01:35.023643,a70fa0be-c5fb-11ea-8eef-dca63233ad2b,1,1,1,-60
6,DC:A6:32:33:AD:2C,2020-07-14 14:01:37.027936,a70fa0be-c5fb-11ea-8eef-dca63233ad2b,1,1,1,-49
7,DC:A6:32:33:AD:2C,2020-07-14 14:01:38.511668,a70fa0be-c5fb-11ea-8eef-dca63233ad2b,1,1,1,-49
8,DC:A6:32:33:AD:2C,2020-07-14 14:01:39.141739,a70fa0be-c5fb-11ea-8eef-dca63233ad2b,1,1,1,-60
9,DC:A6:32:33:AD:2C,2020-07-14 14:01:40.037873,a70fa0be-c5fb-11ea-8eef-dca63233ad2b,1,1,1,-60
10,DC:A6:32:33:AD:2C,2020-07-14 14:01:41.061582,a70fa0be-c5fb-11ea-8eef-dca63233ad2b,1,1,1,-50
11,DC:A6:32:33:AD:2C,2020-07-14 14:01:42.009056,a70fa0be-c5fb-11ea-8eef-dca63233ad2b,1,1,1,-58
12,DC:A6:32:33:AD:2C,2020-07-14 14:01:43.338465,a70fa0be-c5fb-11ea-8eef-dca63233ad2b,1,1,1,-58
13,DC:A6:32:33:AD:2C,2020-07-14 14:01:44.120449,a70fa0be-c5fb-11ea-8eef-dca63233ad2b,1,1,1,-48
14,DC:A6:32:33:AD:2C,2020-07-14 14:01:45.094102,a70fa0be-c5fb-11ea-8eef-dca63233ad2b,1,1,1,-49
15,DC:A6:32:33:AD:2C,2020-07-14 14:01:46.019006,a70fa0be-c5fb-11ea-8eef-dca63233ad2b,1,1,1,-57
16,DC:A6:32:33:AD:2C,2020-07-14 14:01:47.809050,a70fa0be-c5fb-11ea-8eef-dca63233ad2b,1,1,1,-60
17,DC:A6:32:33:AD:2C,2020-07-14 14:01:48.031516,a70fa0be-c5fb-11ea-8eef-dca63233ad2b,1,1,1,-57
18,DC:A6:32:33:AD:2C,2020-07-14 14:01:49.010277,a70fa0be-c5fb-11ea-8eef-dca63233ad2b,1,1,1,-49
19,DC:A6:32:33:AD:2C,2020-07-14 14:01:50.029021,a70fa0be-c5fb-11ea-8eef-dca63233ad2b,1,1,1,-49
20,DC:A6:32:33:AD:2C,2020-07-14 14:01:51.110403,a70fa0be-c5fb-11ea-8eef-dca63233ad2b,1,1,1,-60
21,DC:A6:32:33:AD:2C,2020-07-14 14:01:52.103930,a70fa0be-c5fb-11ea-8eef-dca63233ad2b,1,1,1,-49
22,DC:A6:32:33:AD:2C,2020-07-14 14:01:54.108280,a70fa0be-c5fb-11ea-8eef-dca63233ad2b,1,1,1,-58
23,DC:A6:32:33:AD:2C,2020-07-14 14:01:55.092805,a70fa0be-c5fb-11ea-8eef-dca63233ad2b,1,1,1,-49
24,DC:A6:32:33:AD:2C,2020-07-14 14:01:57.097666,a70fa0be-c5fb-11ea-8eef-dca63233ad2b,1,1,1,-49
25,DC:A6:32:33:AD:2C,2020-07-14 14:01:58.721419,a70fa0be-c5fb-11ea-8eef-dca63233ad2b,1,1,1,-60
26,DC:A6:32:33:AD:2C,2020-07-14 14:01:59.020088,a70fa0be-c5fb-11ea-8eef-dca63233ad2b,1,1,1,-58
27,DC:A6:32:33:AD:2C,2020-07-14 14:02:00.098909,a70fa0be-c5fb-11ea-8eef-dca63233ad2b,1,1,1,-57
28,DC:A6:32:33:AD:2C,2020-07-14 14:02:01.426350,a70fa0be-c5fb-11ea-8eef-dca63233ad2b,1,1,1,-49
29,DC:A6:32:33:AD:2C,2020-07-14 14:02:02.128824,a70fa0be-c5fb-11ea-8eef-dca63233ad2b,1,1,1,-49
30,DC:A6:32:33:AD:2C,2020-07-14 14:02:03.101301,a70fa0be-c5fb-11ea-8eef-dca63233ad2b,1,1,1,-49
31,DC:A6:32:33:AD:2C,2020-07-14 14:02:04.031339,a70fa0be-c5fb-11ea-8eef-dca63233ad2b,1,1,1,-58
32,DC:A6:32:33:AD:2C,2020-07-14 14:02:05.200086,a70fa0be-c5fb-11ea-8eef-dca63233ad2b,1,1,1,-49
33,DC:A6:32:33:AD:2C,2020-07-14 14:02:07.049374,a70fa0be-c5fb-11ea-8eef-dca63233ad2b,1,1,1,-49
34,DC:A6:32:33:AD:2C,2020-07-14 14:02:08.605070,a70fa0be-c5fb-11ea-8eef-dca63233ad2b,1,1,1,-49
35,DC:A6:32:33:AD:2C,2020-07-14 14:02:09.082479,a70fa0be-c5fb-11ea-8eef-dca63233ad2b,1,1,1,-59
36,DC:A6:32:33:AD:2C,2020-07-14 14:02:10.209606,a70fa0be-c5fb-11ea-8eef-dca63233ad2b,1,1,1,-59
37,DC:A6:32:33:AD:2C,2020-07-14 14:02:12.213766,a70fa0be-c5fb-11ea-8eef-dca63233ad2b,1,1,1,-59
38,DC:A6:32:33:AD:2C,2020-07-14 14:02:13.131203,a70fa0be-c5fb-11ea-8eef-dca63233ad2b,1,1,1,-59
39,DC:A6:32:33:AD:2C,2020-07-14 14:02:14.077438,a70fa0be-c5fb-11ea-8eef-dca63233ad2b,1,1,1,-59
40,DC:A6:32:33:AD:2C,2020-07-14 14:02:15.266030,a70fa0be-c5fb-11ea-8eef-dca63233ad2b,1,1,1,-60
41,DC:A6:32:33:AD:2C,2020-07-14 14:02:16.101305,a70fa0be-c5fb-11ea-8eef-dca63233ad2b,1,1,1,-59
42,DC:A6:32:33:AD:2C,2020-07-14 14:02:17.196846,a70fa0be-c5fb-11ea-8eef-dca63233ad2b,1,1,1,-48
43,DC:A6:32:33:AD:2C,2020-07-14 14:02:18.274339,a70fa0be-c5fb-11ea-8eef-dca63233ad2b,1,1,1,-60
44,DC:A6:32:33:AD:2C,2020-07-14 14:02:19.015588,a70fa0be-c5fb-11ea-8eef-dca63233ad2b,1,1,1,-59
45,DC:A6:32:33:AD:2C,2020-07-14 14:02:21.020050,a70fa0be-c5fb-11ea-8eef-dca63233ad2b,1,1,1,-58
46,DC:A6:32:33:AD:2C,2020-07-14 14:02:23.025010,a70fa0be-c5fb-11ea-8eef-dca63233ad2b,1,1,1,-60
47,DC:A6:32:33:AD:2C,2020-07-14 14:02:24.026243,a70fa0be-c5fb-11ea-8eef-dca63233ad2b,1,1,1,-58
48,DC:A6:32:33:AD:2C,2020-07-14 14:02:25.338731,a70fa0be-c5fb-11ea-8eef-dca63233ad2b,1,1,1,-58
49,DC:A6:32:33:AD:2C,2020-07-14 14:02:26.052023,a70fa0be-c5fb-11ea-8eef-dca63233ad2b,1,1,1,-60
50,DC:A6:32:33:AD:2C,2020-07-14 14:02:27.301210,a70fa0be-c5fb-11ea-8eef-dca63233ad2b,1,1,1,-49
51,DC:A6:32:33:AD:2C,2020-07-14 14:02:28.097379,a70fa0be-c5fb-11ea-8eef-dca63233ad2b,1,1,1,-49
52,DC:A6:32:33:AD:2C,2020-07-14 14:02:29.009864,a70fa0be-c5fb-11ea-8eef-dca63233ad2b,1,1,1,-57
